filename	mark	label	off0	off1	span	code	semantic_rel	omim_code	mesh_code	icd10_code	hpo_code
es-S1139-76322014000100010-1	T1	ENFERMEDAD	2008	2047	apéndice cecal con signos inflamatorios	74400008	EXACT	None	D001064	K37	None
es-S1139-76322014000100010-1	T2	ENFERMEDAD	1259	1277	cuadro obstructivo	81060008	EXACT	MTHU020587	D007415	None	HP:0005214
es-S1139-76322014000100010-1	T3	ENFERMEDAD	574	587	abdomen agudo	9209005	EXACT	None	D000006	R10.0	None
es-S1139-76322014000100010-1	T4	ENFERMEDAD	753	770	apendicitis aguda	85189001	EXACT	None	None	K35.9	None
es-S1130-05582017000200099-1	T1	ENFERMEDAD	50	58	fumadora	77176002	EXACT	None	D000074285	None	None
es-S1130-05582017000200099-1	T2	ENFERMEDAD	113	136	alergias medicamentosas	416098002	EXACT	None	D004342	None	HP:0410323
es-S1130-05582017000200099-1	T3	ENFERMEDAD	1314	1330	fascitis nodular	400138001	EXACT	None	None	M72.4	None
es-S1130-05582017000200099-1	T4	ENFERMEDAD	659	665	lesión	417163006	EXACT	None	None	None	None
es-S1130-05582017000200099-1	T5	ENFERMEDAD	730	736	lesión	417163006	EXACT	None	None	None	None
es-S1137-66272006000500012-1	T1	ENFERMEDAD	2041	2047	dengue	38362002	EXACT	None	D003715	A90	None
es-S1137-66272006000500012-1	T2	ENFERMEDAD	33	51	fumadora ocasional	77176002	EXACT	None	D000074285	None	None
es-S1137-66272006000500012-1	T3	ENFERMEDAD	2083	2129	dengue hemorrágico grado 1 inducido por el AAS	409676000	NARROW	None	None	None	None
es-S1137-66272006000500012-1	T4	ENFERMEDAD	685	757	exantema hemorrágico, simétrico, máculo-papular en tronco y extremidades	271807003+128121009+128605003	COMPOSITE	MTHU008860	D005076	R21	HP:0000988
es-S1137-66272006000500012-1	T5	ENFERMEDAD	316	338	picaduras de mosquitos	283344005	EXACT	None	None	None	None
es-S1137-66272006000500012-1	T6	ENFERMEDAD	941	1001	adenopatías latero y retrocervicales así como preauriculares	127086001+127078001	COMPOSITE	MTHU033335	None	None	HP:0025289
es-S1137-66272006000500012-1	T7	ENFERMEDAD	1052	1072	hepatoesplenomegalia	36760000	EXACT	MTHU012652	None	None	HP:0001433
es-S1137-66272006000500012-1	T8	ENFERMEDAD	1143	1183	petequias en la fosa antecubital derecha	423716004	NARROW	MTHU056998	D011693	None	None
